m'ana	ˈ mˠ a n̻ˠ ə
b'ana	ˈ bˠ a n̻ˠ ə
d'ana	ˈ d̪ˠ a n̻ˠ ə
n-anacair	ˈ n̻ˠ a ˈ n̻ˠ a k ə ɾʲ
m'anacair	ˈ mˠ a ˈ n̻ˠ a k ə ɾʲ
b'anacair	ˈ bˠ a ˈ n̻ˠ a k ə ɾʲ
d'anacair	ˈ d̪ˠ a ˈ n̻ˠ a k ə ɾʲ
n-anama	ˈ n̻ˠ a ˈ n̻ˠ a mˠ ə
m'anama	ˈ mˠ a ˈ n̻ˠ a mˠ ə
b'anama	ˈ bˠ a ˈ n̻ˠ a mˠ ə
d'anama	ˈ d̪ˠ a ˈ n̻ˠ a mˠ ə
n-anam	ˈ n̻ˠ a n̻ˠ ə mˠ
m'anam	ˈ mˠ a n̻ˠ ə mˠ
b'anam	ˈ bˠ a n̻ˠ ə mˠ
t-anam	ˈ t̪ˠ a n̻ˠ ə mˠ
d'anam	ˈ d̪ˠ a n̻ˠ ə mˠ
n-aon	ˈ n̻ˠ eː n̻ˠ
m'aon	ˈ mˠ eː n̻ˠ
b'aon	ˈ bˠ eː n̻ˠ
t-aon	ˈ t̪ˠ eː n̻ˠ
d'aon	ˈ d̪ˠ eː n̻ˠ
n-aos	ˈ n̻ˠ iː sˠ
m'aos	ˈ mˠ iː sˠ
b'aos	ˈ bˠ iː sˠ
t-aos	ˈ t̪ˠ iː sˠ
d'aos	ˈ d̪ˠ iː sˠ
n-ár	ˈ n̻ˠ aː ɾˠ
m'ár	ˈ mˠ aː ɾˠ
b'ár	ˈ bˠ aː ɾˠ
t-ár	ˈ t̪ˠ aː ɾˠ
d'ár	ˈ d̪ˠ aː ɾˠ
n-aráin	n̻ˠ ə ˈ ɾˠ aː n̻ʲ
m'aráin	mˠ ə ˈ ɾˠ aː n̻ʲ
b'aráin	bˠ ə ˈ ɾˠ aː n̻ʲ
d'aráin	d̪ˠ ə ˈ ɾˠ aː n̻ʲ
n-arán	n̻ˠ ə ˈ ɾˠ aː n̻ˠ
m'arán	mˠ ə ˈ ɾˠ aː n̻ˠ
b'arán	bˠ ə ˈ ɾˠ aː n̻ˠ
t-arán	t̪ˠ ə ˈ ɾˠ aː n̻ˠ
d'arán	d̪ˠ ə ˈ ɾˠ aː n̻ˠ
n-arbhair	ˈ n̻ˠ a ɾˠ ə vˠ ə ɾʲ
m'arbhair	ˈ mˠ a ɾˠ ə vˠ ə ɾʲ
b'arbhair	ˈ bˠ a ɾˠ ə vˠ ə ɾʲ
d'arbhair	ˈ d̪ˠ a ɾˠ ə vˠ ə ɾʲ
n-ar	n̻ˠ e ɾʲ
m'ar	mˠ e ɾʲ
b'ar	bˠ e ɾʲ
t-ar	t̪ˠ e ɾʲ
d'ar	d̪ˠ e ɾʲ
m'arm	ˈ mˠ a ɾˠ ə mˠ
b'arm	ˈ bˠ a ɾˠ ə mˠ
d'arm	ˈ d̪ˠ a ɾˠ ə mˠ
n-armáil	ˈ n̻ˠ a ɾˠ ə mˠ aː lʲ
m'armáil	ˈ mˠ a ɾˠ ə mˠ aː lʲ
b'armáil	ˈ bˠ a ɾˠ ə mˠ aː lʲ
t-armáil	ˈ t̪ˠ a ɾˠ ə mˠ aː lʲ
d'armáil	ˈ d̪ˠ a ɾˠ ə mˠ aː lʲ
n-arsa	ˈ n̻ˠ ə ɾˠ sˠ ə
n-atá	n̻ˠ ə ˈ t̪ˠ aː
d'atá	d̪ˠ ə ˈ t̪ˠ aː
n-athair	ˈ n̻ˠ a h ə ɾʲ
m'athair	ˈ mˠ a h ə ɾʲ
b'athair	ˈ bˠ a h ə ɾʲ
t-athair	ˈ t̪ˠ a h ə ɾʲ
d'athair	ˈ d̪ˠ a h ə ɾʲ
n-athar	ˈ n̻ˠ a e ɾʲ
m'athar	ˈ mˠ a e ɾʲ
b'athar	ˈ bˠ a e ɾʲ
d'athar	ˈ d̪ˠ a e ɾʲ
n-áthas	ˈ n̻ˠ aː h ə sˠ
m'áthas	ˈ mˠ aː h ə sˠ
b'áthas	ˈ bˠ aː h ə sˠ
t-áthas	ˈ t̪ˠ aː h ə sˠ
d'áthas	ˈ d̪ˠ aː h ə sˠ
n-aturnae	ˈ n̻ˠ a t̪ˠ ə ɾˠ n̻ˠ eː
m'aturnae	ˈ mˠ a t̪ˠ ə ɾˠ n̻ˠ eː
b'aturnae	ˈ bˠ a t̪ˠ ə ɾˠ n̻ˠ eː
t-aturnae	ˈ t̪ˠ a t̪ˠ ə ɾˠ n̻ˠ eː
d'aturnae	ˈ d̪ˠ a t̪ˠ ə ɾˠ n̻ˠ eː
n-éadaigh	ˈ nʲ eː d̪ˠ iː
m'éadaigh	ˈ mʲ eː d̪ˠ iː
b'éadaigh	ˈ bʲ eː d̪ˠ iː
d'éadaigh	ˈ dʲ eː d̪ˠ iː
n-éadain	ˈ nʲ eː d̪ˠ ə nʲ
m'éadain	ˈ mʲ eː d̪ˠ ə nʲ
b'éadain	ˈ bʲ eː d̪ˠ ə nʲ
d'éadain	ˈ dʲ eː d̪ˠ ə nʲ
n-éad	ˈ nʲ eː d̪ˠ
m'éad	ˈ mʲ eː d̪ˠ
b'éad	ˈ bʲ eː d̪ˠ
t-éad	ˈ tʲ eː d̪ˠ
d'éad	ˈ dʲ eː d̪ˠ
n-eagal	ˈ nʲ a ɡ ə l̻ˠ
b'eagal	ˈ bʲ a ɡ ə l̻ˠ
n-eagla	ˈ nʲ a ɡ l̻ˠ ə
m'eagla	ˈ mʲ a ɡ l̻ˠ ə
b'eagla	ˈ bʲ a ɡ l̻ˠ ə
d'eagla	ˈ dʲ a ɡ l̻ˠ ə
n-éagóir	ˈ nʲ eː ɡ oː ɾʲ
m'éagóir	ˈ mʲ eː ɡ oː ɾʲ
b'éagóir	ˈ bʲ eː ɡ oː ɾʲ
d'éagóir	ˈ dʲ eː ɡ oː ɾʲ
n-éagóra	ˈ nʲ eː ɡ oː ɾˠ ə
m'éagóra	ˈ mʲ eː ɡ oː ɾˠ ə
b'éagóra	ˈ bʲ eː ɡ oː ɾˠ ə
d'éagóra	ˈ dʲ eː ɡ oː ɾˠ ə
n-éalú	ˈ nʲ eː l̻ˠ uː
m'éalú	ˈ mʲ eː l̻ˠ uː
b'éalú	ˈ bʲ eː l̻ˠ uː
t-éalú	ˈ tʲ eː l̻ˠ uː
d'éalú	ˈ dʲ eː l̻ˠ uː
n-easaontas	ˈ nʲ a ˈ sˠ eː n̻ˠ t̪ˠ ə sˠ
m'easaontas	ˈ mʲ a ˈ sˠ eː n̻ˠ t̪ˠ ə sˠ
b'easaontas	ˈ bʲ a ˈ sˠ eː n̻ˠ t̪ˠ ə sˠ
t-easaontas	ˈ tʲ a ˈ sˠ eː n̻ˠ t̪ˠ ə sˠ
d'easaontas	ˈ dʲ a ˈ sˠ eː n̻ˠ t̪ˠ ə sˠ
n-é	ˈ nʲ eː
n-éigean	ˈ nʲ eː ɟ ə n̻ˠ
m'éigean	ˈ mʲ eː ɟ ə n̻ˠ
b'éigean	ˈ bʲ eː ɟ ə n̻ˠ
t-éigean	ˈ tʲ eː ɟ ə n̻ˠ
d'éigean	ˈ dʲ eː ɟ ə n̻ˠ
mb'éigean	ˈ mʲ eː ɟ ə n̻ˠ
n-éigin	ˈ nʲ eː ɟ ə nʲ
m'éigin	ˈ mʲ eː ɟ ə nʲ
b'éigin	ˈ bʲ eː ɟ ə nʲ
d'éigin	ˈ dʲ eː ɟ ə nʲ
n-éileamh	ˈ nʲ eː lʲ ə
m'éileamh	ˈ mʲ eː lʲ ə
b'éileamh	ˈ bʲ eː lʲ ə
t-éileamh	ˈ tʲ eː lʲ ə
d'éileamh	ˈ dʲ eː lʲ ə
n-eile	ˈ nʲ e lʲ ə
b'eile	ˈ bʲ e lʲ ə
n-éirim	ˈ nʲ eː ɾʲ ə mʲ
m'éirim	ˈ mʲ eː ɾʲ ə mʲ
b'éirim	ˈ bʲ eː ɾʲ ə mʲ
d'éirim	ˈ dʲ eː ɾʲ ə mʲ
nÉirinn	ˈ nʲ eː ɾʲ i n̻ʲ
m'Éirinn	ˈ mʲ eː ɾʲ i n̻ʲ
b'Éirinn	ˈ bʲ eː ɾʲ i n̻ʲ
d'Éirinn	ˈ dʲ eː ɾʲ i n̻ʲ
n-éis	ˈ nʲ eː ʃ
m'éis	ˈ mʲ eː ʃ
b'éis	ˈ bʲ eː ʃ
d'éis	ˈ dʲ eː ʃ
n-éisteacht	ˈ nʲ eː ʃ tʲ ə x t̪ˠ
m'éisteacht	ˈ mʲ eː ʃ tʲ ə x t̪ˠ
b'éisteacht	ˈ bʲ eː ʃ tʲ ə x t̪ˠ
d'éisteacht	ˈ dʲ eː ʃ tʲ ə x t̪ˠ
n-eolas	ˈ nʲ oː l̻ˠ ə sˠ
m'eolas	ˈ mʲ oː l̻ˠ ə sˠ
b'eolas	ˈ bʲ oː l̻ˠ ə sˠ
t-eolas	ˈ tʲ oː l̻ˠ ə sˠ
d'eolas	ˈ dʲ oː l̻ˠ ə sˠ
b'fhada	ˈ bˠ a d̪ˠ ə
d'fhág	ˈ d̪ˠ aː ɡ
m'fhaid	ˈ mˠ a dʲ
b'fhaid	ˈ bˠ a dʲ
d'fhaid	ˈ d̪ˠ a dʲ
b'fhairsing	ˈ bˠ a ɾˠ ʃ ə ɲ
d'fhanadh	ˈ d̪ˠ a n̻ˠ ə
d'fhan	ˈ d̪ˠ a n̻ˠ
m'fhéachaint	ˈ mʲ eː x ə nʲ tʲ
b'fhéachaint	ˈ bʲ eː x ə nʲ tʲ
d'fhéachaint	ˈ dʲ eː x ə nʲ tʲ
d'fhéach	ˈ dʲ eː x
d'fhéadadh	ˈ dʲ eː d̪ˠ ə
d'fhéadaidís	ˈ dʲ eː d̪ˠ ə dʲ iː ʃ
d'fhéadainn	ˈ dʲ eː d̪ˠ ə n̻ʲ
d'fhéad	ˈ dʲ eː d̪ˠ
d'fhéadfadh	ˈ dʲ eː t̪ˠ ə x
d'fhéadfainn	ˈ dʲ eː d̪ˠ ə n̻ʲ
m'fhear	ˈ mʲ a ɾˠ
b'fhear	ˈ bʲ a ɾˠ
d'fhear	ˈ dʲ a ɾˠ
b'fhearr	ˈ bʲ aː ɾˠ
mb'fhearr	ˈ mʲ aː ɾˠ
m'fhéidir	ˈ mʲ eː dʲ ə ɾʲ
b'fhéidir	ˈ bʲ eː dʲ ə ɾʲ
d'fhéidir	ˈ dʲ eː dʲ ə ɾʲ
mb'fhéidir	ˈ mʲ eː dʲ ə ɾʲ
m'fhéir	ˈ mʲ eː ɾʲ
b'fhéir	ˈ bʲ eː ɾʲ
d'fhéir	ˈ dʲ eː ɾʲ
m'fheirm	ˈ mʲ e ɾʲ ə mʲ
b'fheirm	ˈ bʲ e ɾʲ ə mʲ
d'fheirm	ˈ dʲ e ɾʲ ə mʲ
m'fheoil	ˈ mʲ oː lʲ
