á	aː
bhíodar	vʲ iː d̪ˠ ə ɾˠ
bhíodh	ˈ vʲ iː uː
bhí	ˈ vʲ iː
bhlasta	vˠ l̻ˠ a sˠ t̪ˠ ə
bhláth	vˠ l̻ˠ aː h
bhliain	ˈ vˠ lʲ ia nʲ
bhlúire	vˠ l̻ˠ uː ɾʲ ə
bhotháin	vˠ a h a nʲ
bhóthair	vˠ oː h ə ɾʲ
bhóthar	vˠ oː h ə ɾˠ
bhó	ˈ vˠ oː
bhraiceal	vˠ ɾˠ a c ə l̻ˠ
bhrath	vˠ ɾˠ a h
bhreá	ˈ vʲ ɾʲ aː
bhreith	vʲ ɾʲ ai ç
bhreoiteachtaí	vʲ ɾʲ oː tʲ ə ɾˠ t̪ˠ iː
bhreoiteacht	vʲ ɾʲ oː tʲ a ɾˠ t̪ˠ
bhriseadh	vʲ ɾʲ i ʃ uː
bhriste	ˈ vʲ ɾʲ i ʃ tʲ ə
bhrí	vʲ ɾʲ iː
bhrollach	vˠ ɾˠ a l̻ˠ a h
bhrú	vˠ ɾˠ uː
bhuachaill	ˈ vˠ u h i l̻ʲ
bhuadhdar	vˠ ua ɣ d̪ˠ ə ɾˠ
bhuaileadh	vˠ ua lʲ uː
bhuailfeadh	vˠ ua l̥ʲ uː
bhuailinn-se	vˠ ua lʲ i n̻ʲ ʃ e
bhuail	ˈ vˠ ua lʲ
bhuaireamh	vˠ ua ɾʲ uː
bhuairt	vˠ ua ɾˠ tʲ
bhualadh	vˠ ua l̻ˠ uː
bhuartha	ˈ vˠ ua ɾˠ h ə
bhuile	vˠ i lʲ ə
bhuille	ˈ vˠ i l̻ʲ ə
bhuí	ˈ vˠ iː
bhun	ˈ vˠ u n̻ˠ
bí	ˈ bʲ iː
bíodh	ˈ bˠ iː vˠ
bioránach	ˈ bʲ i ɾˠ a n̻ˠ a h
bith	ˈ bʲ iː
bithiúnach	ˈ bʲ i hʲ u n̻ˠ a h
bliain	ˈ bʲ lʲ ia nʲ
bliana	ˈ bʲ lʲ ia n̻ˠ ə
blianta	ˈ bʲ lʲ ia n̻ˠ t̪ˠ ə
blúire	ˈ bˠ l̻ˠ uː ɾʲ ə
bó	ˈ bˠ oː
bochta	ˈ bˠ o x t̪ˠ ə
bocht	ˈ bˠ o x t̪ˠ
bodhar	ˈ bˠ au ɾˠ
b'óige	ˈ bˠ oː ɟ ə
bóithrín	ˈ bˠ oː hʲ ɾʲ i nʲ
bonn	ˈ bˠ o n̻ˠ
bosca	ˈ bˠ o k sˠ ə
bothán	ˈ bˠ o h a n̻ˠ
bóthar	ˈ bˠ oː h ə ɾˠ
bpáirc	bˠ aː ɾʲ c
bpáircín	bˠ aː ɾʲ c iː nʲ
bpáirt	bˠ aː ɾˠ tʲ
bpoiblíocht	bˠ o bʲ lʲ ia ɾˠ t̪ˠ
bpoll	ˈ bˠ o l̻ˠ
bponc	ˈ bˠ o ŋ k
bportach	bˠ a ɾˠ t̪ˠ a h
bpráta	bˠ ɾˠ aː t̪ˠ ə
bprísúnach	bʲ ɾʲ iː ʃ uː n̻ˠ a h
braon	ˈ bˠ ɾˠ iː n̻ˠ
brat	ˈ bˠ ɾˠ a t̪ˠ
breá	ˈ bʲ ɾʲ aː
breab	ˈ bʲ ɾʲ a bˠ
breac	ˈ bʲ ɾʲ a k
bréagacha	bʲ ɾʲ eː ɡ a h ə
bréag	ˈ bʲ ɾʲ eː ɡ
breátha	bʲ ɾʲ aː h ə
breathnú	bʲ ɾʲ a h n̻ˠ uː
breis	ˈ bʲ ɾʲ e ʃ
breith	ˈ bʲ ɾʲ ai hʲ
breoiteacht	ˈ bʲ ɾʲ oː tʲ a x t̪ˠ
brí	ˈ bʲ ɾʲ iː
briogadáin	bʲ ɾʲ i ɡ ə d̪ˠ a nʲ
bríomhar	ˈ bʲ ɾʲ iː vˠ ə ɾˠ
briseadh	ˈ bʲ ɾʲ i ʃ uː
briste	ˈ bʲ ɾʲ i ʃ tʲ ə
bróga	bˠ ɾˠ oː ɡ ə
bróg	ˈ bˠ ɾˠ oː ɡ
bruach	ˈ bˠ ɾˠ ua h
brú	ˈ bˠ ɾˠ uː
buachaill	ˈ bˠ ua h ə l̻ʲ
buachaillí	bˠ ua h ə l̻ʲ iː
buadh	bˠ ua ɣ
buadhdar	bˠ ua ɣ d̪ˠ ə ɾˠ
buaileadh	ˈ bˠ ua lʲ uː
buile	ˈ bˠ i lʲ ə
buille	ˈ bˠ i l̻ʲ ə
bun	ˈ bˠ u n̻ˠ
bunúsach	ˈ bˠ u n̻ˠ u sˠ a h
cabáiste	ˈ k a bˠ a ʃ tʲ ə
cad	ˈ k a d̪ˠ
cailíní	ˈ k a lʲ i nʲ iː
cailín	ˈ k a lʲ i nʲ
cainte	ˈ k a n̻ʲ tʲ ə
caint	ˈ k a n̻ʲ tʲ
caisleán	ˈ k a ʃ lʲ a n̻ˠ
caitheadh	k ai ç uː
caitheamh	ˈ k ai hʲ uː
cá	ˈ k aː
caoi	ˈ k iː
caola	k iː l̻ˠ ə
capall	ˈ k a pˠ ə l̻ˠ
cárbh	k aː ɾˠ vˠ
cár	ˈ k aː ɾˠ
casadh	ˈ k a sˠ uː
cás	ˈ k aː sˠ
casúr	ˈ k a sˠ u ɾˠ
cathain	ˈ k a h ə nʲ
cathaoireach	k a h iː ɾʲ a h
cath	ˈ k a h
cead	ˈ c a d̪ˠ
céad	ˈ c eː d̪ˠ
ceann	ˈ c i n̻ˠ
ceaptí	c a pʲ tʲ iː
ceart	ˈ c a ɾˠ t̪ˠ
ceathair	ˈ c a h ə ɾʲ
ceathrar	ˈ c a h ɾˠ ə ɾˠ
cé	ˈ c eː
ceist	ˈ c e ʃ tʲ
ceiste	ˈ c e ʃ tʲ ə
cérbh	c eː ɾʲ vʲ
chabáiste	x a bˠ aː ʃ tʲ ə
chaereach	x eː ɾʲ a h
chailín	ˈ x a lʲ i nʲ
chailleadh	x a l̻ʲ uː
chaill	ˈ x a l̻ʲ
cháil	ˈ x aː lʲ
chaint	ˈ x a nʲ tʲ
chaisleáin	x a ʃ lʲ a nʲ
chaisleán	x a ʃ lʲ a n̻ˠ
chaitheamh	ˈ x a hʲ uː
chaithfeadh	x ai ç uː
chaithidís	x ai ç i dʲ iː ʃ
chaithinn	x ai ç i n̻ʲ
chaith	ˈ x a hʲ
chaoi	ˈ x iː
chapall	x a pˠ ə l̻ˠ
charraig	ˈ x a ɾˠ ə ɟ
chasadh	x a sˠ uː
