á	aː
geall	ˈ ɟ a l̻ˠ
gealladh	ˈ ɟ a l̻ˠ uː
geal-liath	ˈ ɟ a ˈ l̻ʲ iˑə
geallta	ˈ ɟ a l̻ˠ t̪ˠ ə
gealltanais	ˈ ɟ a l̻ˠ t̪ˠ ə n̻ˠ ə ʃ
gealltanas	ˈ ɟ a l̻ˠ t̪ˠ ə n̻ˠ ə sˠ
gealltóir	
gealt	ˈ ɟ a l̻ˠ t̪ˠ
gealtlann	ˈ ɟ a l̻ˠ t̪ˠ l̻ˠ ə n̻ˠ
geamhchaoch	ˈ ɟ au x i h
gean	ˈ ɟ a n̻ˠ
géanóm	
geanúil	ˈ ɟ a n̻ˠ u lʲ
géar	ˈ ɟ eː ɾˠ
géaraigh	ˈ ɟ eː ɾˠ iː
gearáin	ˈ ɟ a ɾˠ aː nʲ
gearán	ˈ ɟ a ɾˠ aː n̻ˠ
gearánach	ˈ ɟ a ɾˠ aː n̻ˠ a h
gearánaí	ˈ ɟ a ɾˠ aː n̻ˠ iː
géarchéim	ˈ ɟ eː ɾˠ ˈ ç eː mʲ
géarchúis	ˈ ɟ eː ɾˠ h u ʃ
géarchúiseach	ˈ ɟ eː ɾˠ h uː ʃ a h
géardhroim	ˈ ɟ eː ɾˠ ˈ ɣ ɾˠ i mʲ
géardhromach	ˈ ɟ eː ɾˠ ˈ ɣ ɾˠ o mˠ ə h
Gearmáinis	ˈ ɟ a ɾˠ ə mˠ aː nʲ ə ʃ
Gearmáinise	ˈ ɟ a ɾˠ ə mˠ aː nʲ ə ʃ ə
Gearmánach	ˈ ɟ a ɾˠ ə mˠ aː n̻ˠ ə h
gearr	ˈ ɟ aː ɾˠ
gearradh	ˈ ɟ a ɾˠ uː
gearrchaile	ˈ ɟ aː ɾˠ x a lʲ ə
gearrchiorcad	ˈ ɟ aː ɾˠ ˈ ç i ɾˠ k ə d̪ˠ
gearróg	ˈ ɟ a ɾˠ o ɡ
gearrscannán	ˈ ɟ aː ɾˠ ˈ sˠ k a n̻ˠ a n̻ˠ
gearrtha	ˈ ɟ aː ɾˠ ˈ h a
gearrthaisce	ˈ ɟ aː ɾˠ ˈ h a ʃ k iː
gearrthán	ˈ ɟ aː ɾˠ ˈ h aː n̻ˠ
gearrthéarma	ˈ ɟ aː ɾˠ ˈ h eː ɾˠ mˠ ə
gearrthéarmach	ˈ ɟ aː ɾˠ ˈ h eː ɾˠ mˠ a h
gearrthóg	ˈ ɟ aː ɾˠ h o ɡ
gearrthóir	ˈ ɟ aː ɾˠ h o ɾʲ
gearrthréimhseach	ˈ ɟ aː ˈ ɾ̥ʲ eː ˈ i vʲ ʃ ə h
géarshúileach	ˈ ɟ eː ɾˠ ˈ h uː lʲ ə h
geata	ˈ ɟ a t̪ˠ ə
géata	ˈ ɟ eː t̪ˠ ə
geataí	ˈ ɟ a t̪ˠ iː
géill	ˈ ɟ eː l̻ʲ
géilleadh	ˈ ɟ eː l̻ʲ uː
geilleagar	ˈ ɟ e l̻ʲ ə ɡ ə ɾˠ
geilleagrach	ˈ ɟ e l̻ʲ ə ɡ ɾˠ a h
géilliúil	ˈ ɟ eː lʲ u lʲ
géillsine	ˈ ɟ eː l̻ʲ ʃ ə nʲ ə
géillsineach	ˈ ɟ eː l̻ʲ ʃ ə nʲ a h
géillsinigh	ˈ ɟ eː l̻ʲ ʃ ə nʲ ə
géim	ˈ ɟ eː mʲ
geimhle	ˈ ɟ e vʲ lʲ ə
geimhreadh	ˈ ɟ e vʲ ɾʲ uː
geimhridh	ˈ ɟ i vʲ ɾˠ iː
geimhrigh	ˈ ɟ e vʲ ɾʲ iː
geimhrithe	ˈ ɟ e vʲ ɾʲ ə h ə
géimneach	ˈ ɟ eː mʲ nʲ a h
géin	ˈ ɟ eː nʲ
géinathraithe	ˈ ɟ eː n̻ˠ ə ɾ̥ˠ ə h ə
géine	ˈ ɟ eː nʲ ə
géineas	ˈ ɟ eː nʲ ə sˠ
géineolaíocht	ˈ ɟ eː nʲ oː l̻ˠ iː a x t̪ˠ
géiniteach	ˈ ɟ eː nʲ ə tʲ a h
géinitic	ˈ ɟ eː nʲ ə tʲ ə c
géinmhodhnaithe	ˈ ɟ eː n̻ˠ vˠ uː n̻ˠ ə h ə
geir	ˈ ɟ e ɾʲ
géire	ˈ ɟ eː ɾʲ ə
geirseog	
geirsí	ˈ ɟ e ɾʲ ʃ iː
geis	ˈ ɟ e ʃ
geit	ˈ ɟ e tʲ
geografaíocht	ˈ ɟ oː ɡ ɾˠ ə fˠ iː a x t̪ˠ
geoifisic	ˈ ɟ oː fʲ ə ʃ ə c
geoifisiceach	ˈ ɟ oː fʲ ə ʃ ə c ə h
geoiméadracht	ˈ ɟ oː mʲ e d̪ˠ ɾˠ a x t̪ˠ
geolaíocht	ˈ ɟ oː l̻ˠ iː a x t̪ˠ
geolbhach	ˈ ɟ oː l̻ˠ vˠ a h
geonaíl	ˈ ɟ oː n̻ˠ iː lʲ
Ghabúin	ˈ ɣ a bˠ uː nʲ
Ghaelach	ˈ ɣ eː l̻ˠ a h
Ghaimbia	ˈ ɣ a mʲ bʲ iˑə
Ghall	ˈ ɣ a l̻ˠ
ghaoithe	ˈ ɣ iː hʲ ə
ghasta	ˈ ɣ a sˠ t̪ˠ ə
gheal	ˈ j a l̻ˠ
Ghearmáin	ˈ j a ɾˠ ə mˠ aː nʲ
gheasa	ˈ j a sˠ ə
ghiniúna	ˈ j i nʲ uː n̻ˠ ə
ghiotáir	ˈ j i t̪ˠ aː ɾʲ
ghlacadh	ˈ ɣ l̻ˠ a k uː
ghlaeúil	ˈ ɣ l̻ˠ eː uː lʲ
ghlantacháin	ˈ ɣ l̻ˠ a n̻ˠ ˈ t̪ˠ a h aː nʲ
ghlas	ˈ ɣ l̻ˠ a sˠ
ghlórach	ˈ ɣ l̻ˠ oː ɾˠ a h
ghluaisteáin	ˈ ɣ l̻ˠ uˑə ʃ ˈ tʲ aː nʲ
ghluaisteán	ˈ ɣ l̻ˠ ua ʃ tʲ a n̻ˠ
ghlúine	ˈ ɣ l̻ˠ uː nʲ ə
ghnáth	ˈ ɣ n̻ˠ aː
ghnéasach	ˈ j nʲ eː sˠ a h
ghnéis	ˈ j nʲ eː ʃ
ghnó	ˈ ɣ n̻ˠ oː
ghorm	ˈ ɣ o ɾˠ ə mˠ
ghrá	ˈ ɣ ɾˠ aː
ghramadaí	ˈ ɣ ɾˠ a mˠ ə d̪ˠ iː
Ghraonlainn	ˈ ɣ ɾˠ iː n̻ˠ l̻ˠ ə n̻ʲ
ghreamaitheach	ˈ j ɾʲ a mˠ i hʲ a h
Ghréig	ˈ j ɾʲ eː ɟ
ghréine	ˈ j ɾʲ eː nʲ ə
ghrinn	ˈ j ɾʲ i n̻ʲ
ghríobháin	ˈ j ɾʲ iː vˠ aː nʲ
ghruaige	ˈ ɣ ɾˠ ua ɟ ə
ghruaim	ˈ ɣ ɾˠ ua mʲ
ghrúpa	ˈ ɣ ɾˠ uː pˠ ə
Ghuáin	ˈ ɣ uː aː nʲ
Ghuine	ˈ ɣ i nʲ ə
ghutháin	ˈ ɣ u h aː nʲ
giall	ˈ ɟ ia l̻ˠ
giaráilte	ˈ ɟ iˑə ɾˠ aː lʲ tʲ ə
giarathrú	ˈ ɟ iˑə ɾˠ ə ɾ̥ˠ uː
giarbhosca	ˈ ɟ iˑə ɾˠ vˠ ə sˠ k ə
giarluamhán	ˈ ɟ iˑə ɾˠ l̻ˠ uˑə vˠ aː n̻ˠ
gig	ˈ ɟ i ɟ
gild	ˈ ɟ i l̻ʲ dʲ
gile	ˈ ɟ i lʲ ə
gimic	ˈ ɟ i mʲ ə c
gin	ˈ ɟ i nʲ
gineadóir	ˈ ɟ i nʲ ə d̪ˠ o ɾʲ
ginealach	ˈ ɟ i nʲ ə l̻ˠ a h
ginealaigh	ˈ ɟ i nʲ ə l̻ˠ iː
Ginearál	ˈ ɟ i nʲ ə ɾˠ a l̻ˠ
ginearálta	ˈ ɟ i nʲ ə ɾˠ a l̻ˠ t̪ˠ ə
ginias	ˈ ɟ i nʲ iˑə sˠ
giniúint	ˈ ɟ i nʲ u n̻ʲ tʲ
giniúna	ˈ ɟ i nʲ uː n̻ˠ ə
ginmhilleadh	ˈ ɟ i nʲ vʲ i l̻ʲ uː
giobach	ˈ ɟ i bˠ a h
giobóg	ˈ ɟ i bˠ oː ɡ
giolcach	ˈ ɟ i l̻ˠ k a h
giolla	ˈ ɟ i l̻ˠ ə
giollán	ˈ ɟ i l̻ˠ aː n̻ˠ
giom	ˈ ɟ i mˠ
gíománach	ˈ ɟ iː mˠ aː n̻ˠ a h
giorraigh	ˈ ɟ i ɾˠ iː
giorraisc	ˈ ɟ i ɾˠ ə ʃ c
giorraithe	ˈ ɟ i ɾˠ ə h ə
giorria	ˈ ɟ i ɾˠ ia
giorrú	ˈ ɟ i ɾˠ uː
giorrúchán	ˈ ɟ i ɾˠ uː h aː n̻ˠ
giortach	ˈ ɟ i ɾˠ t̪ˠ a h
giosta	ˈ ɟ i sˠ t̪ˠ ə
giota	ˈ ɟ i t̪ˠ ə
giotáir	ˈ ɟ i t̪ˠ aː ɾʲ
giotán	ˈ ɟ i t̪ˠ aː n̻ˠ
giotár	ˈ ɟ ə t̪ˠ aː ɾˠ
giotáraí	ˈ ɟ i t̪ˠ aː ɾˠ iː
girseach	ˈ ɟ i ɾˠ ʃ a h
girseacha	ˈ ɟ i ɾʲ ʃ ə h ə
Giúdach	ˈ ɟ uː d̪ˠ a h
Giúdais	ˈ ɟ uː d̪ˠ ə ʃ
Giúdaise	ˈ ɟ uː d̪ˠ ə ʃ ə
giúiré	ˈ ɟ uː ɾʲ eː
giuirléid	ˈ ɟ uː ɾˠ lʲ e dʲ
giuirléidí	ˈ ɟ u ə ɾʲ lʲ eː dʲ iː
giúis	ˈ ɟ uː ʃ
giúise	ˈ ɟ uː ʃ ə
giúistís	ˈ ɟ uː ʃ tʲ i ʃ
giúmar	ˈ ɟ uː mˠ ə ɾˠ
giúmaráil	ˈ ɟ uː mˠ ə ɾˠ a lʲ
giúróir	ˈ ɟ uː ɾˠ o ɾʲ
glac	ˈ ɡ l̻ˠ a k
glacadh	ˈ ɡ l̻ˠ a k uː
glacadóir	ˈ ɡ l̻ˠ a k ə d̪ˠ o ɾʲ
glaidiólas	ˈ ɡ l̻ˠ a dʲ i o l̻ˠ ə sˠ
glaise	ˈ ɡ l̻ˠ a ʃ ə
glam	ˈ ɡ l̻ˠ a mˠ
glan	ˈ ɡ l̻ˠ a n̻ˠ
glanadh	ˈ ɡ l̻ˠ a n̻ˠ uː
glanscartha	ˈ ɡ l̻ˠ a n̻ˠ sˠ k a ɾˠ h ə
glantach	ˈ ɡ l̻ˠ a n̻ˠ ˈ t̪ˠ a h
glantóir	ˈ ɡ l̻ˠ a n̻ˠ t̪ˠ o ɾʲ
glantóirí	ˈ ɡ l̻ˠ a n̻ˠ ˈ t̪ˠ oː ɾʲ iː
glao	ˈ ɡ l̻ˠ iː
glaoch	ˈ ɡ l̻ˠ iː h
glao-chnaipe	ˈ ɡ l̻ˠ iː ˈ x n̻ˠ a pʲ ə
glaoigh	ˈ ɡ l̻ˠ iː
glaonna	ˈ ɡ l̻ˠ iː n̻ˠ ə
glas	ˈ ɡ l̻ˠ a sˠ
Glasach	ˈ ɡ l̻ˠ a sˠ ə h
glasaigh	ˈ ɡ l̻ˠ a sˠ iː
glasáil	ˈ ɡ l̻ˠ a sˠ a lʲ
glasáilte	ˈ ɡ l̻ˠ a ˈ sˠ aː lʲ tʲ ə
glasála	ˈ ɡ l̻ˠ a sˠ aː l̻ˠ ə
glasra	ˈ ɡ l̻ˠ a sˠ ɾˠ ə
glasraí	ˈ ɡ l̻ˠ a sˠ ˈ ɾˠ iː
glas-stócach	ˈ ɡ l̻ˠ a ˈ sˠ t̪ˠ oː k a h
glé	ˈ ɟ lʲ eː
gleacaí	ˈ ɟ lʲ a k iː
gleadhair	ˈ ɟ lʲ ai ɾʲ
gleann	ˈ ɟ lʲ a n̻ˠ
gléas	ˈ ɟ lʲ eː sˠ
gléasadh	ˈ ɟ lʲ eː sˠ uː
gléasra	ˈ ɟ lʲ eː sˠ ɾˠ ə
gléasta	ˈ ɟ lʲ eː sˠ t̪ˠ ə
gléghlan	ˈ ɟ lʲ eː ˈ ɣ l̻ˠ a n̻ˠ
gléigeal	ˈ ɟ lʲ eː ɟ ə l̻ˠ
gléine	ˈ ɟ lʲ eː nʲ ə
gléineach	ˈ ɟ lʲ eː nʲ a h
gleo	ˈ ɟ lʲ oː
gleoite	ˈ ɟ lʲ oː tʲ ə
glib	ˈ ɟ lʲ i bʲ
glic	ˈ ɟ lʲ i c
gliceas	ˈ ɟ lʲ i c ə sˠ
glinn	ˈ ɟ lʲ i n̻ʲ
glinne	ˈ ɟ lʲ i n̻ʲ ə
glinnigh	ˈ ɟ lʲ i n̻ʲ iː
gliogáil	ˈ ɟ lʲ i ɡ aː lʲ
gliogar	ˈ ɟ lʲ i ɡ ə ɾˠ
gliondar	ˈ ɟ lʲ i n̻ˠ d̪ˠ ə ɾˠ
gliúmáil	ˈ ɟ lʲ uː mˠ aː lʲ
glób	ˈ ɡ l̻ˠ oː bˠ
gloine	ˈ ɡ l̻ˠ i nʲ ə
gloiní	ˈ ɡ l̻ˠ i nʲ iː
gloinigh	ˈ ɡ l̻ˠ i nʲ iː
glór	ˈ ɡ l̻ˠ oː ɾˠ
glórach	ˈ ɡ l̻ˠ oː ɾˠ a h
gluais	ˈ ɡ l̻ˠ ua ʃ
gluaiseacht	ˈ ɡ l̻ˠ ua ʃ a x t̪ˠ
gluaiseachta	ˈ ɡ l̻ˠ uˑə ʃ ə ɾˠ t̪ˠ ə
gluaisrothaí	ˈ ɡ l̻ˠ uˑə ʃ ˈ ɾˠ o h iː
gluaisrothaigh	ˈ ɡ l̻ˠ uˑə ʃ ˈ ɾˠ o h iː
gluaisrothar	ˈ ɡ l̻ˠ ua ʃ ɾˠ o h ə ɾˠ
gluaisteáin	ˈ ɡ l̻ˠ uˑə ʃ ˈ tʲ aː nʲ
gluaisteán	ˈ ɡ l̻ˠ ua ʃ tʲ a n̻ˠ
glúcós	ˈ ɡ l̻ˠ uː k oː sˠ
glúin	ˈ ɡ l̻ˠ uː nʲ
glúine	ˈ ɡ l̻ˠ uː nʲ ə
gnaíúil	ˈ ɡ ɾˠ iː u lʲ
gnaíúlacht	ˈ ɡ n̻ˠ iː uː l̻ˠ ə ɾˠ t̪ˠ
gnaoi	ˈ ɡ ɾˠ iː
gnás	ˈ ɡ ɾˠ aː sˠ
gnásanna	ˈ ɡ n̻ˠ aː sˠ ə n̻ˠ ə
gnásúil	ˈ ɡ n̻ˠ aː sˠ uː lʲ
gnáth	ˈ ɡ aː
gnáthaigh	ˈ ɡ ɾˠ aː h iː
gnáthamh	ˈ ɡ ɾˠ aː h uː
gnáthchuid	ˈ ɡ n̻ˠ aː ˈ x i dʲ
gnáthdhaoine	ˈ ɡ n̻ˠ aː ˈ ɣ iː nʲ iː
gnáthnós	ˈ ɡ n̻ˠ aː ˈ n̻ˠ oː sˠ
gnáthóg	ˈ ɡ ɾˠ aː h o ɡ
gnáthphobal	ˈ ɡ n̻ˠ aː ˈ fˠ o bˠ ə l̻ˠ
gnáthshaighdiúir	ˈ ɡ ɾˠ aː h ai dʲ u ɾʲ
gnáthshaol	ˈ ɡ n̻ˠ aː ˈ h iː l̻ˠ
gnáth-théacs	ˈ ɡ n̻ˠ aː ˈ h eː k sˠ
gné	ˈ ɟ ɾʲ eː
gné-alt	ˈ ɟ ɾʲ eː ˈ o l̻ˠ t̪ˠ
gnéas	ˈ ɟ ɾʲ eː sˠ
gnéasach	ˈ ɟ ɾʲ eː sˠ a h
gnéasacht	ˈ ɟ nʲ eː sˠ ə ɾˠ t̪ˠ
gnéasaíoch	ˈ ɟ nʲ eː sˠ iˑə h
gnéasaithin	ˈ ɟ nʲ eː sˠ ə h ə nʲ
gnéasorgán	ˈ ɟ nʲ eː sˠ ə ɾˠ ɡ aː n̻ˠ
gnéasúil	ˈ ɟ nʲ eː sˠ uː lʲ
gnéchlár	ˈ ɟ nʲ eː h l̻ˠ aː ɾˠ
gnéis	ˈ ɟ nʲ eː ʃ
gníomh	ˈ ɟ ɾʲ iː vˠ
gníomhach	ˈ ɟ ɾʲ iː vˠ a h
gníomhaí	ˈ ɟ nʲ iː vˠ iː
gníomhaigh	ˈ ɟ ɾʲ iː vˠ iː
gníomhaíocht	ˈ ɟ ɾʲ iː vˠ iː a x t̪ˠ
gníomhaíochta	ˈ ɟ nʲ iː vˠ iˑə ɾˠ t̪ˠ ə
gníomhaire	ˈ ɟ ɾʲ iː vˠ ə ɾʲ ə
gníomhaireacht	ˈ ɟ ɾʲ iː vˠ ə ɾʲ a x t̪ˠ
gníomhú	ˈ ɟ nʲ iː vˠ uː
gnó	ˈ ɡ ɾˠ oː
gnóiteach	ˈ ɡ n̻ˠ oː tʲ ə h
gnólacht	ˈ ɡ ɾˠ oː l̻ˠ a x t̪ˠ
gnóthach	ˈ ɡ ɾˠ oː h a h
gnóthachan	ˈ ɡ ɾˠ oː h a h ə n̻ˠ
gnóthaí	ˈ ɡ n̻ˠ oː h iː
gnóthaigh	ˈ ɡ ɾˠ oː h iː
gnóthas	ˈ ɡ ɾˠ oː h ə sˠ
gnú	ˈ ɡ n̻ˠ uː
gnúis	ˈ ɡ ɾˠ uː ʃ
go	ˈ ɡ ə
gob	ˈ ɡ o bˠ
gobadán	ˈ ɡ o bˠ ə d̪ˠ aː n̻ˠ
gobharnóir	ˈ ɡ o vˠ ə ɾˠ n̻ˠ o ɾʲ
gogamán	ˈ ɡ o ɡ ə mˠ aː n̻ˠ
goid	ˈ ɡ i dʲ
goidte	ˈ ɡ o dʲ ə
goigín	ˈ ɡ o ɟ iː nʲ
goil	ˈ ɡ i lʲ
goile	ˈ ɡ i lʲ ə
góilín	ˈ ɡ oː lʲ i nʲ
goill	ˈ ɡ i l̻ʲ
goilliúnach	ˈ ɡ i l̻ʲ u n̻ˠ a h
goimh	ˈ ɡ i vʲ
goimhiúil	ˈ ɡ i vʲ u lʲ
goin	ˈ ɡ i nʲ
goineog	ˈ ɡ i nʲ o ɡ
goirín	ˈ ɡ i ɾʲ i nʲ
goirt	ˈ ɡ o ɾˠ tʲ
gónairith	ˈ ɡ oː n̻ˠ ə ɾʲ ə
gonc	ˈ ɡ o ŋ k
gonta	ˈ ɡ o n̻ˠ t̪ˠ ə
gor	ˈ ɡ o ɾˠ
goraille	ˈ ɡ o ɾˠ i l̻ʲ ə
gorm	ˈ ɡ o ɾˠ ə mˠ
gormacha	ˈ ɡ oː ɾˠ ə mˠ ə h ə
gormdhubh	ˈ ɡ oː ɾˠ ə mˠ ɣ ə vˠ
gort	ˈ ɡ o ɾˠ t̪ˠ
gortach	ˈ ɡ o ɾˠ t̪ˠ a h
gortaigh	ˈ ɡ o ɾˠ t̪ˠ iː
gortaithe	ˈ ɡ oː ɾˠ t̪ˠ ə h ə
gortú	ˈ ɡ o ɾˠ t̪ˠ uː
Gotach	ˈ ɡ o t̪ˠ ə h
gotha	ˈ ɡ o h ə
grá	ˈ ɡ ɾˠ aː
grabhróg	
grád	ˈ ɡ ɾˠ aː d̪ˠ
grádaigh	ˈ ɡ ɾˠ aː d̪ˠ iː
gradaim	ˈ ɡ ɾˠ a d̪ˠ ə mʲ
gradam	ˈ ɡ ɾˠ a d̪ˠ ə mˠ
graf	ˈ ɡ ɾˠ a fˠ
grafach	ˈ ɡ ɾˠ a fˠ ə h
grágán	ˈ ɡ ɾˠ aː ɡ aː n̻ˠ
gráigh	ˈ ɡ ɾˠ aː j
gráin	ˈ ɡ ɾˠ aː nʲ
gráinigh	ˈ ɡ ɾˠ aː nʲ iː
gráinneog	ˈ ɡ ɾˠ aː n̻ʲ oː ɡ
gráinnín	ˈ ɡ ɾˠ aː n̻ʲ i nʲ
gramadaí	ˈ ɡ ɾˠ a mˠ ə d̪ˠ iː
gramadúil	ˈ ɡ ɾˠ a mˠ ə d̪ˠ u lʲ
grámhar	ˈ ɡ ɾˠ aː vˠ ə ɾˠ
grán	ˈ ɡ ɾˠ aː n̻ˠ
gránach	ˈ ɡ ɾˠ aː n̻ˠ a h
gránaigh	ˈ ɡ ɾˠ aː n̻ˠ iː
gránbhairr	ˈ ɡ ɾˠ aː n̻ˠ vˠ ə ɾʲ
gránbharr	ˈ ɡ ɾˠ aː n̻ˠ vˠ ə ɾˠ
gránghunna	ˈ ɡ ɾˠ aː ŋ h ə n̻ˠ ə
gránna	ˈ ɡ ɾˠ aː n̻ˠ ə
graosta	ˈ ɡ ɾˠ iː sˠ t̪ˠ ə
graostacht	ˈ ɡ ɾˠ iː sˠ t̪ˠ a x t̪ˠ
grásta	ˈ ɡ ɾˠ aː sˠ t̪ˠ ə
gráta	ˈ ɡ ɾˠ aː t̪ˠ ə
grátáil	ˈ ɡ ɾˠ aː t̪ˠ a lʲ
gread	ˈ ɟ ɾʲ a d̪ˠ
greadadh	ˈ ɟ ɾʲ a d̪ˠ uː
Gréagach	ˈ ɟ ɾʲ eː ɡ ə h
gréagán	ˈ ɟ ɾʲ eː ɡ aː n̻ˠ
greamach	ˈ ɟ ɾʲ a mˠ ə h
greamaigh	ˈ ɟ ɾʲ a mˠ iː
greamaithe	ˈ ɟ ɾʲ a mˠ ə h ə
greamán	ˈ ɟ ɾʲ a mˠ aː n̻ˠ
greamú	ˈ ɟ ɾʲ a mˠ uː
grean	ˈ ɟ ɾʲ a n̻ˠ
Greanáda	ˈ ɟ ɾʲ a n̻ˠ aː d̪ˠ ə
Greanáidíní	ˈ ɟ ɾʲ a n̻ˠ aː dʲ iː nʲ iː
greanáil	ˈ ɟ ɾʲ a n̻ˠ aː lʲ
greanchloch	ˈ ɟ ɾʲ a n̻ˠ ə x l̻ˠ ə h
greann	ˈ ɟ ɾʲ a n̻ˠ
greannán	ˈ ɟ ɾʲ a n̻ˠ a n̻ˠ
greannmhar	ˈ ɟ ɾʲ a n̻ˠ vˠ ə ɾˠ
gréas	ˈ ɟ ɾʲ eː sˠ
gréasáin	ˈ ɟ ɾʲ eː sˠ aː nʲ
gréasán	ˈ ɟ ɾʲ eː sˠ a n̻ˠ
gréasánaí	ˈ ɟ ɾʲ eː sˠ aː n̻ˠ iː
Gréigis	ˈ ɟ ɾʲ eː ɟ ə ʃ
Gréigise	ˈ ɟ ɾʲ eː ɟ ə ʃ ə
greille	ˈ ɟ ɾʲ e l̻ʲ ə
greillithe	ˈ ɟ ɾʲ e l̻ʲ ə h ə
greim	ˈ ɟ ɾʲ i mʲ
gréine	ˈ ɟ ɾʲ eː nʲ ə
gréithe	ˈ ɟ ɾʲ eː hʲ ə
grian	ˈ ɟ ɾʲ ia n̻ˠ
grianchill	ˈ ɟ ɾʲ iˑə n̻ˠ ˈ ç i l̻ʲ
grianchloch	ˈ ɟ ɾʲ ia n̻ˠ x l̻ˠ a h
grianchloiche	ˈ ɟ ɾʲ iˑə n̻ˠ ˈ x l̻ˠ o ç ə
grianchóras	ˈ ɟ ɾʲ iˑə n̻ˠ ˈ x oː ɾˠ ə sˠ
grianfhuinneamh	ˈ ɟ ɾʲ iˑə ˈ n̻ˠ i n̻ʲ uː
grianghraf	ˈ ɟ ɾʲ ia n̻ˠ ɣ ɾˠ a fˠ
grianghrafadóir	ˈ ɟ ɾʲ ia n̻ˠ ɣ ɾˠ a fˠ ə d̪ˠ o ɾʲ
grianghrafadóireacht	ˈ ɟ ɾʲ ia n̻ˠ ɣ ɾˠ a fˠ ə d̪ˠ o ɾʲ a x t̪ˠ
grianghrafadóireachta	ˈ ɟ ɾʲ iˑə n̻ˠ 
grianmhar	ˈ ɟ ɾʲ ia n̻ˠ vˠ ə ɾˠ
grinn	ˈ ɟ ɾʲ i n̻ʲ
grinneall	ˈ ɟ ɾʲ i n̻ʲ ə l̻ˠ
grinnigh	ˈ ɟ ɾʲ i n̻ʲ iː
gríobh	ˈ ɟ ɾʲ iː vˠ
griog	ˈ ɟ ɾʲ i ɡ
gríos	ˈ ɟ ɾʲ iː sˠ
gríosadh	ˈ ɟ ɾʲ iː sˠ uː
gríosaigh	ˈ ɟ ɾʲ iː sˠ iː
gríosóir	ˈ ɟ ɾʲ iː sˠ o ɾʲ
griothal	ˈ ɟ ɾʲ i h ə l̻ˠ
gríscín	ˈ ɟ ɾʲ iː ʃ c i nʲ
grod	ˈ ɡ ɾˠ o d̪ˠ
gróig	ˈ ɡ ɾˠ oː ɟ
gróigeán	ˈ ɡ ɾˠ oː ɟ aː n̻ˠ
grósaeir	ˈ ɡ ɾˠ oː sˠ iː
grua	ˈ ɡ ɾˠ ua
gruagach	ˈ ɡ ɾˠ ua ɡ a h
gruagaire	ˈ ɡ ɾˠ ua ɡ ə ɾʲ ə
gruaig	ˈ ɡ ɾˠ ua ɟ
gruaige	ˈ ɡ ɾˠ ua ɟ ə
gruaim	ˈ ɡ ɾˠ ua mʲ
gruama	ˈ ɡ ɾˠ ua mˠ ə
grúdlann	ˈ ɡ ɾˠ uː d̪ˠ l̻ˠ ə n̻ˠ
grúp	ˈ ɡ ɾˠ uː pˠ
grúpa	ˈ ɡ ɾˠ uː pˠ ə
grúpáil	ˈ ɡ ɾˠ uː pˠ a lʲ
grúta	ˈ ɡ ɾˠ uː t̪ˠ ə
grútáil	ˈ ɡ ɾˠ uː t̪ˠ aː lʲ
guagach	ˈ ɡ ua ɡ a h
guagadh	ˈ ɡ uˑə ɡ uː
guailleáil	ˈ ɡ ua l̻ʲ a lʲ
guaim	ˈ ɡ ua mʲ
Guáin	ˈ ɡ uː aː nʲ
guairille	ˈ ɡ ua ɾʲ i l̻ʲ ə
guairilleach	ˈ ɡ ua ɾʲ i l̻ʲ a h
guairne	ˈ ɡ ua ɾˠ nʲ ə
guais	ˈ ɡ ua ʃ
gual	ˈ ɡ ua l̻ˠ
gualach	ˈ ɡ ua l̻ˠ a h
gualainn	ˈ ɡ ua l̻ˠ ə n̻ʲ
Guaránach	ˈ ɡ uˑə ɾˠ aː n̻ˠ ə h
Guatamala	ˈ ɡ uˑə t̪ˠ ə mˠ ə l̻ˠ ə
Guatamalach	ˈ ɡ uˑə t̪ˠ ə mˠ ə l̻ˠ ə h
gúgláil	ˈ ɡ uː ɡ l̻ˠ aː lʲ
guí	ˈ ɡ iː
guigh	ˈ ɡ i j
Guine	ˈ ɡ i nʲ ə
Guine-Bissau	ˈ ɡ i nʲ ə ˈ bʲ i sˠ sˠ ə ə
gúna	ˈ ɡ uː n̻ˠ ə
gunna	ˈ ɡ o n̻ˠ ə
gunnaí	ˈ ɡ u n̻ˠ iː
gur	ˈ ɡ ə ɾˠ
gus	ˈ ɡ u sˠ
gusta	ˈ ɡ u sˠ t̪ˠ ə
gustalach	ˈ ɡ u sˠ t̪ˠ ə l̻ˠ a h
guta	ˈ ɡ u t̪ˠ ə
guth	ˈ ɡ u h
gutha	ˈ ɡ u h ə
guthaigh	ˈ ɡ u h iː
gutháin	ˈ ɡ u h aː nʲ
guthán	ˈ ɡ u h a n̻ˠ
guthú	ˈ ɡ u h uː
haca	ˈ h a k ə
haghaidh	ˈ h eː j
haigh	ˈ h ai
haileabó	ˈ h a lʲ ə bˠ oː
haimsire	ˈ h a mʲ ʃ ə ɾʲ ə
hairicín	ˈ h a ɾʲ ə c i nʲ
hais	ˈ h a ʃ
haischlib	ˈ h a ʃ ˈ ç lʲ i bʲ
haischlibeáil	ˈ h a ʃ ˈ ç lʲ i bʲ aː lʲ
Háítí	ˈ h aː iː tʲ iː
Háítíoch	ˈ h aː iː tʲ iˑə h
hAlban	ˈ h a l̻ˠ ə bˠ ə n̻ˠ
