* 'dh eadh: dhea
* bhfeudfá-sa: bhféadfása
* bhfeur: bhféar
* bhfhearr: bhfearr
* bhfuighfeadh: bhfaigheadh
* bhfuighfinn: bhfaighinn
* bhfuighfí: bhfaighfí
* bhfuighidh: bhfaighidh
* bhfuighinn: bhfaighinn
* bhfuilimíd: bhfuilimid
* bhfuinneoig: bhfuinneog
* bhfuirm: bhfoirm
* bhfurmhór: bhformhór
* bhfáisgtí: bhfáisctí
* bhfásan: bhfásann
* bhfásgadh: bhfáscadh
* bhféadan: bhféadann
* bhféadfaimís: bhféadfaimis
* bhféadfá-sa: bhféadfása
* bhfíor-mhullach: bhfíormhullach
* bhi: bhí
* bhiadh: bhia
* bhiotáile: bhiotáille
* bhreagh: bhreá
* bhreitheamhantas: bhreithiúntas
* bhreithniughadh: bhreithniú
* bhreágh: bhreá
* bhreóite: bhreoite
* bhreóiteacht: bhreoiteacht
* bhreóiteachtaí: bhreoiteachtaí
* bhrisean: bhriseann
* bhrostuigh: bhrostaigh
* bhrothalach: bhrothallach
* bhruid: bhroid
* bhréag-éadaí: bhréagéidí
* bhrígh: bhrí
* bhrónaíghe: bhrónaí
* bhrúth: bhrú
* bhuadhfaidís: bhuafaidís
* bhuaidh: bhua
* bhuailean: bhuaileann
* bhuideul: bhuidéal
* bhuidhchais: bhuíochais
* bhuidhe: bhuí
* bhulóg: bhollóg
* bháilligheacht: bháillíocht
* bhánuigh: bhánaigh
* bhárr: bharr
* bhárthain: bhárthainn
* bháthfadh: bháfadh
* bhéadh: bheadh
* bhéidh: bheidh
* bhéidís: bheidís
* bhéimíd: bheimid
* bhéinn: bheinn
* bhím-se: bhímse
* bhímís: bhímis
* bhíomair: bhíomar
* bhíon: bhíonn
* bhítheas: bhíothas
* bhórd: bhord
* bhúird: bhoird
* bhúirth: bhúir
* bhúirtheach: bhúireach
* bhúntáiste: bhuntáiste
* bhúr: bhur
* biadh: bia
* binnse: binse
* binnsí: binsí
* biotáile: biotáille
* bitheamhnach: bithiúnach
* bleachtfhéileacháin: bleachtfhéileacáin
* bleachtfhéileácán: bleachtfhéileacán
* bliadhain: bliain
* bliadhna: bliana
* bolg-shúileach: bolgshúileach
* bolgaighe: bolgaí
